"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2000";"Mortalidade infantil 2000";"Taxa de analfabetismo - 15 anos ou mais 2000";"% de pobres 2000";"% de vulneráveis à pobreza 2000";"IDHM 2000";"Indicador_final"
"Açailândia";"MA";2100055;0,500289184499711;0,770841670001334;0,652847805788982;0,442309852825525;0,247249754928657;0,403292181069959;0,522707653608842
"Afonso Cunha";"MA";2100105;0,18796992481203;0,504601840736295;0,328851540616246;0,0856083586113919;0,103365646443742;0,734567901234568;0,242079462243941
"Água Doce do Maranhão";"MA";2100154;0,121457489878543;0,439642523676137;0,347152194211018;0,1226828446242;0,0618668990306068;0,825102880658436;0,218560390284101
"Alcântara";"MA";2100204;0,298438403701561;0,606109110310791;0,55219421101774;0,159532636782384;0,0938895545147588;0,594650205761317;0,342032783265447
"Aldeias Altas";"MA";2100303;0,147484094852516;0,465119381085768;0,200746965452848;0,157959779800022;0,0874632392985514;0,709876543209876;0,211754692097941
"Altamira do Maranhão";"MA";2100402;0,160208212839792;0,477924503134587;0,356302521008403;0,29726996966633;0,157608103692408;0,637860082304527;0,289862662068304
"Alto Alegre do Maranhão";"MA";2100436;0,215731636784268;0,531012404961985;0,306442577030812;0,153353555780249;0,0926914279490252;0,746913580246913;0,259846320501268
"Alto Alegre do Pindaré";"MA";2100477;0,331405436668594;0,634653861544618;0,252100840336134;0,148747331760476;0,0980285371963838;0,736625514403292;0,292987201501241
"Alto Parnaíba";"MA";2100501;0,548293811451706;0,806455915699613;0,681979458450047;0,248174362431187;0,148567694150964;0,532921810699588;0,486694248436703
"Amapá do Maranhão";"MA";2100550;0,124349334875651;0,442577030812325;0,381699346405229;0,145938658577688;0,0982463783901535;0,755144032921811;0,238562149812209
"Amarante do Maranhão";"MA";2100600;0,236552920763447;0,550220088035214;0,504201680672269;0,18481069542748;0,0874632392985514;0,658436213991769;0,312649724839392
"Anajatuba";"MA";2100709;0,311740890688259;0,617580365479525;0,471708683473389;0,141220087630603;0,0910576189957521;0,611111111111111;0,326661529253506
"Anapurus";"MA";2100808;0,311740890688259;0,617580365479525;0,381325863678805;0,189079878665319;0,127001415967759;0,561728395061728;0,325345682895933
"Apicum-Açu";"MA";2100832;0,207056101792944;0,522609043617447;0,569934640522876;0,0861700932479497;0,043895000544603;0,755144032921811;0,285932975945164
"Araguanã";"MA";2100873;0,163678426836322;0,480992396958784;0,378711484593838;0,0742613189529266;0,0437860799477181;0,689300411522634;0,228285941457917
"Araioses";"MA";2100907;0,160208212839792;0,477924503134587;0,21531279178338;0,091450398831592;0,0459644918854155;0,814814814814815;0,198172079694953
"Arame";"MA";2100956;0,161364950838635;0,478724823262638;0,323809523809524;0,192225592630042;0,111099008822568;0,740740740740741;0,253444779872681
"Arari";"MA";2101004;0,341237709658762;0,643190609577164;0,566946778711485;0,334344455679137;0,184838252913626;0,460905349794239;0,414111561308035
"Axixá";"MA";2101103;0,333140543666859;0,635987728424703;0,724556489262372;0,182114369172003;0,0951966016773771;0,473251028806584;0,394199146440663
"Bacabal";"MA";2101202;0,341237709658762;0,643190609577164;0,578711484593838;0,323222109875295;0,186580982463784;0,438271604938272;0,414588579233769
"Bacabeira";"MA";2101251;0,328513591671486;0,631986127784447;0,591036414565826;0,151106617234019;0,0743927676723668;0,537037037037037;0,355407103785629
"Bacuri";"MA";2101301;0,26951995373048;0,580232092837135;0,490756302521008;0,135715088192338;0,0930181897396798;0,598765432098765;0,313848325404128
"Bacurituba";"MA";2101350;0,0699826489300174;0,386821395224757;0,453034547152194;0,12931131333558;0,0850669861670842;0,668724279835391;0,224843378161927
"Balsas";"MA";2101400;0,594563331405436;0,839802587701748;0,743790849673203;0,426356589147287;0,267182224158588;0,3559670781893;0,574339116417252
"Barão de Grajaú";"MA";2101509;0,398496240601503;0,691076430572229;0,488702147525677;0,251544770250534;0,116327197473042;0,555555555555555;0,389229357284597
"Barra do Corda";"MA";2101608;0,371891266628109;0,668934240362812;0,484407096171802;0,283338950679699;0,188214791417057;0,55761316872428;0,399357269051896
"Barreirinhas";"MA";2101707;0,298438403701561;0,606109110310791;0,353688141923436;0,118750702168296;0,0796209563228407;0,685185185185185;0,291321462885385
"Belágua";"MA";2101731;0,263736263736264;0,575163398692811;0,13109243697479;0,0625772385125266;0;0,769547325102881;0,206513867583278
"Bela Vista do Maranhão";"MA";2101772;0,231925968768074;0,545818327330932;0,428571428571428;0,159869677564319;0,0802744799041499;0,697530864197531;0,289291976427781
"Benedito Leite";"MA";2101806;0,263736263736264;0,575163398692811;0,476937441643324;0,248062015503876;0,126456812983335;0,648148148148148;0,338071186511922
"Bequimão";"MA";2101905;0,267206477732793;0,578364679205015;0,585434173669468;0,102348050780811;0,0790763533384164;0,559670781893004;0,322485946945301
"Bernardo do Mearim";"MA";2101939;0,290341237709659;0,59890622915833;0,420728291316527;0,243792832266037;0,125149765820717;0,578189300411523;0,335783671254254
"Boa Vista do Gurupi";"MA";2101970;0,229034123770966;0,54328398025877;0,545098039215686;0,17604763509718;0,0722143557346694;0,668724279835391;0,313135626815454
"Bom Jardim";"MA";2102002;0,26951995373048;0,580232092837135;0,279178338001867;0,142231209976407;0,0731946411066332;0,744855967078189;0,268871247130505
"Bom Jesus das Selvas";"MA";2102036;0,290341237709659;0,59890622915833;0,372922502334267;0,193910796539715;0,103365646443742;0,679012345679012;0,311889282437143
"Bom Lugar";"MA";2102077;0,263157894736842;0,574496465252768;0,326984126984127;0,0929109088866419;0,0518462041171986;0,641975308641975;0,261879119995515
"Brejo";"MA";2102101;0,280508964719491;0,590236094437775;0,3828197945845;0,134703965846534;0,0865918745234724;0,639917695473251;0,294972138822355
"Brejo de Areia";"MA";2102150;0,0323886639676114;0,347205548886221;0,229505135387488;0,0966183574879226;0,0393203354754384;0,775720164609053;0,149007608240936
"Buriti";"MA";2102200;0,161364950838635;0,478724823262638;0,373669467787115;0,113695090439276;0,0871364775078967;0,648148148148148;0,242918161967112
"Buriti Bravo";"MA";2102309;0,311740890688259;0,617580365479525;0,406162464985994;0,131558251881811;0,0953055222742621;0,61522633744856;0,31246949906197
"Buriticupu";"MA";2102325;0,224985540775015;0,539549152994531;0,394584500466853;0,268958543983822;0,15608321533602;0,724279835390946;0,316832190711248
"Buritirana";"MA";2102358;0,215731636784268;0,531012404961985;0,4;0,117290192113246;0,0700359437969721;0,654320987654321;0,266814035531294
"Cachoeira Grande";"MA";2102374;0,331405436668594;0,634653861544618;0,326423902894491;0,0412313223233345;0,0153578041607668;0,720164609053498;0,269814465518361
"Cajapió";"MA";2102408;0,208212839791787;0,523676137121515;0,44593837535014;0,0676328502415459;0,0227644047489381;0,62962962962963;0,253644921450785
"Cajari";"MA";2102507;0,241758241758242;0,555288782179538;0,658263305322129;0,0550499943826535;0,039756017862978;0,746913580246913;0,310023268301108
"Campestre do Maranhão";"MA";2102556;0,449392712550608;0,731492597038816;0,546965452847806;0,27098078867543;0,107177867334713;0,520576131687243;0,421201883689474
"Cândido Mendes";"MA";2102606;0,290341237709659;0,59890622915833;0,600746965452848;0,195483653522076;0,0776603855789129;0,641975308641975;0,352627694284365
"Cantanhede";"MA";2102705;0,331405436668594;0,634653861544618;0,410830999066293;0,0385349960678575;0,0339832262280798;0,650205761316872;0,289881703915088
"Capinzal do Norte";"MA";2102754;0,160208212839792;0,477924503134587;0,362091503267974;0,145039883159196;0,0907308572050975;0,672839506172839;0,247198991921329
"Carolina";"MA";2102804;0,500289184499711;0,770841670001334;0,63734827264239;0,353443433322099;0,254329593726174;0,448559670781893;0,503250430838341
"Carutapera";"MA";2102903;0,265471370734528;0,576497265572896;0,593650793650794;0,136052128974273;0,0922557455614857;0,644032921810699;0,332785460898795
"Caxias";"MA";2103000;0,341237709658762;0,643190609577164;0,486834733893557;0,317492416582406;0,19790872453981;0,462962962962963;0,39733283885034
"Cedral";"MA";2103109;0,290341237709659;0,59890622915833;0,721008403361345;0,17896865520728;0,0800566387103801;0,497942386831276;0,373856232829399
"Central do Maranhão";"MA";2103125;0,224985540775015;0,539549152994531;0,48422035480859;0,143354679249522;0,0742838470754819;0,621399176954732;0,293278714980628
"Centro do Guilherme";"MA";2103158;0,114517061885483;0,432706415899693;0,381139122315593;0,256150994270307;0,125694368805141;0,796296296296296;0,262041592635243
"Centro Novo do Maranhão";"MA";2103174;0,267206477732793;0,578364679205015;0,291690009337068;0,136276822828896;0,0748284500599064;0,767489711934156;0,269673287832736
"Chapadinha";"MA";2103208;0,343551185656449;0,645191409897292;0,432119514472456;0,205707223907426;0,126021130595796;0,563786008230453;0,350518092905884
"Cidelândia";"MA";2103257;0,231925968768074;0,545818327330932;0,504014939309057;0,263902932254803;0,128961986711687;0,576131687242798;0,334924830874911
"Codó";"MA";2103307;0,267206477732793;0,578364679205015;0,358730158730159;0,222559263004157;0,129615510292996;0,604938271604938;0,311295217793024
"Coelho Neto";"MA";2103406;0,178716020821284;0,495531545951714;0,448739495798319;0,247163240085384;0,133645572377737;0,631687242798354;0,300759175006887
"Colinas";"MA";2103505;0,163678426836322;0,480992396958784;0,402987861811391;0,212897427255364;0,143448426097375;0,588477366255144;0,280800907791847
"Conceição do Lago-Açu";"MA";2103554;0,235974551764025;0,549819927971189;0,360971055088702;0,0997640714526457;0,0437860799477181;0,792181069958848;0,258063137244856
"Coroatá";"MA";2103604;0,229034123770966;0,54328398025877;0,348272642390289;0,15413998427143;0,102058599281124;0,654320987654321;0,275357865994516
"Cururupu";"MA";2103703;0,333140543666859;0,635987728424703;0,732399626517274;0,262442422199753;0,156736738917329;0,481481481481481;0,424141411945184
"Davinópolis";"MA";2103752;0,263157894736842;0,574496465252768;0,531839402427638;0,304797213796203;0,129506589696112;0,567901234567901;0,360759513181912
"Dom Pedro";"MA";2103802;0,341237709658762;0,643190609577164;0,54547152194211;0,423098528255252;0,242566169262608;0,440329218106996;0,439112907739179
"Duque Bacelar";"MA";2103901;0,0572585309427416;0,37374949979992;0,248552754435107;0,138523761375126;0,0971571724213049;0,639917695473251;0,18304834379484
"Esperantinópolis";"MA";2104008;0,267206477732793;0,578364679205015;0,426890756302521;0,20963936636333;0,11425770613223;0,656378600823045;0,319271797147178
