"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2010";"Mortalidade infantil 2010";"Taxa de analfabetismo - 15 anos ou mais 2010";"% de pobres 2010";"% de vulneráveis à pobreza 2010";"Indicador_final"
"Açailândia";"MA";2100055;0,672962226640158;0,706586826347305;0,660648033638387;0,697882414836249;0,436205899363794;0,635
"Afonso Cunha";"MA";2100105;0,316103379721671;0,37125748502994;0,24140489735345;0,150335393923451;0,106998264893002;0,237
"Água Doce do Maranhão";"MA";2100154;0,150099403578529;0,18562874251497;0,207024486767252;0,246087070893069;0,137998843262001;0,185
"Alcântara";"MA";2100204;0,485089463220677;0,538922155688623;0,543161019045263;0,312376693410496;0,195951417004049;0,415
"Aldeias Altas";"MA";2100303;0,290258449304175;0,344311377245509;0,166213208013851;0,238853084308826;0,105031810294968;0,229
"Altamira do Maranhão";"MA";2100402;0,284294234592445;0,335329341317365;0,282463517190205;0,298829409443641;0,127472527472527;0,266
"Alto Alegre do Maranhão";"MA";2100436;0,429423459244533;0,48502994011976;0,373979718031165;0,362883072471393;0,180682475419317;0,366
"Alto Alegre do Pindaré";"MA";2100477;0,610337972166998;0,652694610778443;0,300519416275043;0,179139813231619;0,0624638519375361;0,361
"Alto Parnaíba";"MA";2100501;0,672962226640158;0,706586826347305;0,573336631214445;0,459160857556228;0,283863504916136;0,539
"Amapá do Maranhão";"MA";2100550;0,0984095427435396;0,125748502994012;0,275290625772941;0,25923977377351;0,130364372469636;0,178
"Amarante do Maranhão";"MA";2100600;0,261431411530816;0,311377245508982;0,395498392282958;0,371300802314876;0,182648930017351;0,304
"Anajatuba";"MA";2100709;0,535785288270378;0,586826347305389;0,422705911451892;0,301328422990925;0,196645459803355;0,409
"Anapurus";"MA";2100808;0,55168986083499;0,601796407185629;0,35864457086322;0,312771274496909;0,167495662232504;0,398
"Apicum-Açu";"MA";2100832;0,278330019880715;0,329341317365269;0,635913925302993;0,345258450611601;0,17432041642568;0,353
"Araguanã";"MA";2100873;0,202783300198808;0,245508982035928;0,401929260450161;0,236222543732737;0,0647773279352226;0,23
"Araioses";"MA";2100907;0,220675944333996;0,266467065868263;0,264654959188721;0,270682625279495;0,140543666859456;0,233
"Arame";"MA";2100956;0,174950298210736;0,215568862275449;0,281474152856789;0,175194002367487;0,0973973395026025;0,189
"Arari";"MA";2101004;0,548707753479125;0,598802395209581;0,553549344546129;0,521767723267131;0,303875072296125;0,505
"Axixá";"MA";2101103;0,620278330019882;0,661676646706587;0,693297056641108;0,381822964619229;0,182533256217467;0,508
"Bacabal";"MA";2101202;0,485089463220677;0,538922155688623;0,568884491714074;0,637116927528607;0,384268363215732;0,523
"Bacabeira";"MA";2101251;0,575546719681909;0,622754491017964;0,645560227553797;0,480205182164935;0,249624060150376;0,515
"Bacuri";"MA";2101301;0,391650099403578;0,449101796407186;0,512985406876082;0,361041694068131;0,185309427414691;0,38
"Bacurituba";"MA";2101350;0,0556660039761434;0,0748502994011976;0,507049220875587;0,214783638037617;0,0818970503181029;0,187
"Balsas";"MA";2101400;0,809145129224652;0,817365269461078;0,778629730398219;0,749835591213995;0,511856564488143;0,733
"Barão de Grajaú";"MA";2101509;0,42544731610338;0,482035928143713;0,536730150878061;0,53334210180192;0,349219201850781;0,465
"Barra do Corda";"MA";2101608;0,541749502982108;0,592814371257485;0,412812268117734;0,437458897803499;0,282706766917293;0,454
"Barreirinhas";"MA";2101707;0,478131212723658;0,532934131736527;0,470690081622557;0,296988031040379;0,141122035858878;0,384
"Belágua";"MA";2101731;0,208747514910538;0,251497005988024;0,128617363344051;0,0444561357358939;0,026604973973395;0,132
"Bela Vista do Maranhão";"MA";2101772;0,374751491053677;0,431137724550898;0,370022260697502;0,349598842562147;0,14598033545402;0,334
"Benedito Leite";"MA";2101806;0,282306163021869;0,335329341317365;0,374969082364581;0,353018545311061;0,206130711393869;0,31
"Bequimão";"MA";2101905;0,508946322067595;0,562874251497006;0,499134306208261;0,338155991056162;0,164950838635049;0,415
"Bernardo do Mearim";"MA";2101939;0,416500994035785;0,473053892215569;0,435814988869651;0,507168223069841;0,275187969924812;0,422
"Boa Vista do Gurupi";"MA";2101970;0,0556660039761434;0,0748502994011976;0,511006678209251;0,314086544784953;0,156622325043378;0,222
"Bom Jardim";"MA";2102002;0,465208747514911;0,520958083832335;0,311897106109325;0,315007233986584;0,132677848467322;0,349
"Bom Jesus das Selvas";"MA";2102036;0,472166998011928;0,526946107784431;0,421716547118476;0,357885045376825;0,18102949681897;0,392
"Bom Lugar";"MA";2102077;0,415506958250498;0,473053892215569;0,303982191441999;0,287649611995265;0,106882591093117;0,317
"Brejo";"MA";2102101;0,51192842942346;0,565868263473054;0,358149888696512;0,247665395238722;0,126778484673221;0,362
"Brejo de Areia";"MA";2102150;0,0337972166998015;0,0449101796407186;0,230521889685877;0,363409180586611;0,182995951417004;0,171
"Buriti";"MA";2102200;0,250497017892644;0,29940119760479;0,349492950779124;0,16993292121531;0,0967032967032967;0,233
"Buriti Bravo";"MA";2102309;0,477137176938369;0,532934131736527;0,345782834528815;0,416283046165987;0,225910931174089;0,4
"Buriticupu";"MA";2102325;0,214711729622266;0,260479041916168;0,432846895869404;0,309746152834408;0,151995373048004;0,274
"Buritirana";"MA";2102358;0,318091451292247;0,37125748502994;0,394509027949542;0,433118505852953;0,235974551764025;0,351
"Cachoeira Grande";"MA";2102374;0,602385685884692;0,646706586826347;0,346030175612169;0,0572142575299225;0,014921920185078;0,333
"Cajapió";"MA";2102408;0,288270377733599;0,341317365269461;0,465495918872125;0,18571616467184;0,0690572585309427;0,27
"Cajari";"MA";2102507;0,446322067594434;0,502994011976048;0,56047489488004;0,123240825989741;0,0600347021399653;0,339
"Campestre do Maranhão";"MA";2102556;0,607355864811133;0,649700598802395;0,572347266881029;0,743259239773774;0,44545980335454;0,604
"Cândido Mendes";"MA";2102606;0,439363817097416;0,494011976047904;0,568884491714074;0,288438774168092;0,167032967032967;0,392
"Cantanhede";"MA";2102705;0,611332007952287;0,655688622754491;0,384368043532031;0,210969354202289;0,0979757085020243;0,392
"Capinzal do Norte";"MA";2102754;0,159045725646124;0,197604790419162;0,302003462775167;0,311456004208865;0,173163678426836;0,229
"Carolina";"MA";2102804;0,774353876739563;0,790419161676647;0,723967350976997;0,578850453768249;0,390052053209948;0,652
"Carutapera";"MA";2102903;0,451292246520875;0,505988023952096;0,612416522384368;0,344995396553992;0,232735685367264;0,429
