"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2010";"Mortalidade infantil 2010";"Taxa de analfabetismo - 15 anos ou mais 2010";"% de pobres 2010";"% de vulneráveis à pobreza 2010"
"Açailândia";"MA";2100055;72,07;23,2;17,69;25,17;53,86
"Afonso Cunha";"MA";2100105;68,48;34,4;34,64;66,8;82,32
"Água Doce do Maranhão";"MA";2100154;66,81;40,6;36,03;59,52;79,64
"Alcântara";"MA";2100204;70,18;28,8;22,44;54,48;74,63
"Aldeias Altas";"MA";2100303;68,22;35,3;37,68;60,07;82,49
"Altamira do Maranhão";"MA";2100402;68,16;35,6;32,98;55,51;80,55
"Alto Alegre do Maranhão";"MA";2100436;69,62;30,6;29,28;50,64;75,95
"Alto Alegre do Pindaré";"MA";2100477;71,44;25;32,25;64,61;86,17
"Alto Parnaíba";"MA";2100501;72,07;23,2;21,22;43,32;67,03
"Amapá do Maranhão";"MA";2100550;66,29;42,6;33,27;58,52;80,3
"Amarante do Maranhão";"MA";2100600;67,93;36,4;28,41;50;75,78
"Anajatuba";"MA";2100709;70,69;27,2;27,31;55,32;74,57
"Anapurus";"MA";2100808;70,85;26,7;29,9;54,45;77,09
"Apicum-Açu";"MA";2100832;68,1;35,8;18,69;51,98;76,5
"Araguanã";"MA";2100873;67,34;38,6;28,15;60,27;85,97
"Araioses";"MA";2100907;67,52;37,9;33,7;57,65;79,42
"Arame";"MA";2100956;67,06;39,6;33,02;64,91;83,15
"Arari";"MA";2101004;70,82;26,8;22,02;38,56;65,3
"Axixá";"MA";2101103;71,54;24,7;16,37;49,2;75,79
"Bacabal";"MA";2101202;70,18;28,8;21,4;29,79;58,35
"Bacabeira";"MA";2101251;71,09;26;18,3;41,72;69,99
"Bacuri";"MA";2101301;69,24;31,8;23,66;50,78;75,55
"Bacurituba";"MA";2101350;65,86;44,3;23,9;61,9;84,49
"Balsas";"MA";2101400;73,44;19,5;12,92;21,22;47,32
"Barão de Grajaú";"MA";2101509;69,58;30,7;22,7;37,68;61,38
"Barra do Corda";"MA";2101608;70,75;27;27,71;44,97;67,13
"Barreirinhas";"MA";2101707;70,11;29;25,37;55,65;79,37
"Belágua";"MA";2101731;67,4;38,4;39,2;74,85;89,27
"Bela Vista do Maranhão";"MA";2101772;69,07;32,4;29,44;51,65;78,95
"Benedito Leite";"MA";2101806;68,14;35,6;29,24;51,39;73,75
"Bequimão";"MA";2101905;70,42;28;24,22;52,52;77,31
"Bernardo do Mearim";"MA";2101939;69,49;31;26,78;39,67;67,78
"Boa Vista do Gurupi";"MA";2101970;65,86;44,3;23,74;54,35;78,03
"Bom Jardim";"MA";2102002;69,98;29,4;31,79;54,28;80,1
"Bom Jesus das Selvas";"MA";2102036;70,05;29,2;27,35;51,02;75,92
"Bom Lugar";"MA";2102077;69,48;31;32,11;56,36;82,33
"Brejo";"MA";2102101;70,45;27,9;29,92;59,4;80,61
"Brejo de Areia";"MA";2102150;65,64;45,3;35,08;50,6;75,75
"Buriti";"MA";2102200;67,82;36,8;30,27;65,31;83,21
"Buriti Bravo";"MA";2102309;70,1;29;30,42;46,58;72,04
"Buriticupu";"MA";2102325;67,46;38,1;26,9;54,68;78,43
"Buritirana";"MA";2102358;68,5;34,4;28,45;45,3;71,17
"Cachoeira Grande";"MA";2102374;71,36;25,2;30,41;73,88;90,28
"Cajapió";"MA";2102408;68,2;35,4;25,58;64,11;85,6
"Cajari";"MA";2102507;69,79;30;21,74;68,86;86,38
"Campestre do Maranhão";"MA";2102556;71,41;25,1;21,26;21,72;53,06
"Cândido Mendes";"MA";2102606;69,72;30,3;21,4;56,3;77,13
"Cantanhede";"MA";2102705;71,45;24,9;28,86;62,19;83,1
"Capinzal do Norte";"MA";2102754;66,9;40,2;32,19;54,55;76,6
"Carolina";"MA";2102804;73,09;20,4;15,13;34,22;57,85
"Carutapera";"MA";2102903;69,84;29,9;19,64;52;71,45
"Caxias";"MA";2103000;70,16;28,9;25,75;35,21;62,48
"Cedral";"MA";2103109;69,88;29,8;17,14;57,46;79,3
"Central do Maranhão";"MA";2103125;67,79;36,9;26,73;56,09;79,7
"Centro do Guilherme";"MA";2103158;67,44;38,2;28,8;51,92;77,76
"Centro Novo do Maranhão";"MA";2103174;68,01;36,1;25,34;53,65;78,45
"Chapadinha";"MA";2103208;71,21;25,6;25,42;48,38;72,05
"Cidelândia";"MA";2103257;68,7;33,7;24,29;36,27;64,37
"Codó";"MA";2103307;70,22;28,6;30,47;44,04;68,92
"Coelho Neto";"MA";2103406;68,67;33,8;28,95;47,3;73,62
"Colinas";"MA";2103505;67,52;37,9;29,83;48,71;71,52
"Conceição do Lago-Açu";"MA";2103554;69,26;31,8;34,88;58,58;80,5
"Coroatá";"MA";2103604;69,21;32;32,2;49,57;73,19
"Cururupu";"MA";2103703;71,06;26,1;17,41;44,54;71,72
"Davinópolis";"MA";2103752;69,84;29,9;25,01;34,77;67,28
"Dom Pedro";"MA";2103802;70,52;27,7;24,23;33,56;62,06
"Duque Bacelar";"MA";2103901;66,56;41,5;31,97;63,58;81,63
"Esperantinópolis";"MA";2104008;67,76;37;30,88;46,89;72,09
"Estreito";"MA";2104057;73,02;20,6;15,18;22,67;46,88
"Feira Nova do Maranhão";"MA";2104073;68,73;33,6;19,75;59,86;80,06
"Fernando Falcão";"MA";2104081;68,67;33,8;38,03;72,73;90,45
"Formosa da Serra Negra";"MA";2104099;71,41;25;18,49;62,31;82,86
"Fortaleza dos Nogueiras";"MA";2104107;71,38;25,1;15,94;38,76;64,9
"Fortuna";"MA";2104206;67,33;38,6;30,51;46,79;67,07
"Godofredo Viana";"MA";2104305;70,02;29,3;16,95;46,2;70,5
"Gonçalves Dias";"MA";2104404;70,46;27,9;34,75;53,83;72,79
"Governador Archer";"MA";2104503;66,21;42,9;31,48;47,57;72,31
"Governador Edison Lobão";"MA";2104552;70,84;26,7;19,63;28,48;60,96
"Governador Eugênio Barros";"MA";2104602;69,15;32,2;35,9;48,32;73,37
"Governador Luiz Rocha";"MA";2104628;66,51;41,8;30,85;52,7;75,07
"Governador Newton Bello";"MA";2104651;68,07;35,9;36,23;54,69;79,61
"Governador Nunes Freire";"MA";2104677;68,29;35,1;25,39;51,8;74,67
"Graça Aranha";"MA";2104701;69,86;29,8;30,1;46,2;72,32
"Grajaú";"MA";2104800;70,21;28,7;22,14;39,45;66,38
"Guimarães";"MA";2104909;71,31;25,3;15,79;50,94;73,69
"Humberto de Campos";"MA";2105005;70,55;27,6;23,6;71,22;89,03
"Icatu";"MA";2105104;68,59;34,1;22,13;63,72;81,44
"Igarapé do Meio";"MA";2105153;66,21;42,9;28,4;45,84;74,47
"Igarapé Grande";"MA";2105203;69,83;29,9;28,55;36,57;67,24
"Imperatriz";"MA";2105302;73,17;19,52;10,87;14,35;38,33
"Itaipava do Grajaú";"MA";2105351;68,58;34,1;34,13;64,21;85,61
"Itapecuru Mirim";"MA";2105401;69,81;30;27,09;49,69;75,32
"Itinga do Maranhão";"MA";2105427;70,85;26,7;23,48;32,08;58,66
"Jatobá";"MA";2105450;67,1;39,5;32,4;52,13;76,08
"Jenipapo dos Vieiras";"MA";2105476;70,96;26,4;34,07;70,33;86
"João Lisboa";"MA";2105500;72,07;23,2;22,32;27,23;57,28
"Joselândia";"MA";2105609;69,59;30,7;33,69;53,44;73,89
"Junco do Maranhão";"MA";2105658;66,39;42,2;27,16;47,05;71,3
"Lago da Pedra";"MA";2105708;68,45;34,6;30,58;43,06;70,17
"Lago do Junco";"MA";2105807;69,47;31,1;32,97;55,4;76,25
"Lago Verde";"MA";2105906;68,86;33,1;33,02;53,97;80,71
"Lagoa do Mato";"MA";2105922;68,58;34,1;33,04;48,76;69,85
"Lago dos Rodrigues";"MA";2105948;69,22;31,9;30,06;39,36;68,05
"Lagoa Grande do Maranhão";"MA";2105963;68,86;33,1;35,34;60,75;82,38
"Lajeado Novo";"MA";2105989;69,29;31,7;18,57;48,2;74,08
"Lima Campos";"MA";2106003;67,29;38,8;31,05;40,87;63,94
"Loreto";"MA";2106102;71,27;25,4;22,29;49,97;75,34
"Luís Domingues";"MA";2106201;69,05;32,5;19,44;53,38;73,72
"Magalhães de Almeida";"MA";2106300;68,72;33,6;30,45;57,66;79,71
"Maracaçumé";"MA";2106326;68,14;35,6;25,47;41,05;70,33
"Marajá do Sena";"MA";2106359;71,44;25;39,98;78,23;91,57
"Maranhãozinho";"MA";2106375;68,15;35,6;27,58;54,95;79,06
"Mata Roma";"MA";2106409;71,56;24,6;28,48;58,31;81,58
"Matinha";"MA";2106508;68,88;33;18,79;47,31;74,43
"Matões";"MA";2106607;69,34;31,5;35,77;54,04;74,25
"Matões do Norte";"MA";2106631;71,1;26;34,03;66,06;89,23
"Milagres do Maranhão";"MA";2106672;70,85;26,7;35,38;64,26;83,74
"Mirador";"MA";2106706;69,39;31,3;29,53;64,64;82,46
"Miranda do Norte";"MA";2106755;70,04;29,2;21,08;38,61;68,06
"Mirinzal";"MA";2106805;70,33;28,3;16,7;43,11;69,09
"Monção";"MA";2106904;67,23;39;27,56;55,01;80,39
"Montes Altos";"MA";2107001;68,91;33;19,77;47,9;73,81
"Morros";"MA";2107100;67,34;38,6;29,78;62,65;80,5
"Nina Rodrigues";"MA";2107209;71,45;24,9;28,43;66,3;83,38
"Nova Colinas";"MA";2107258;69,96;29,5;22,53;53,7;78,76
"Nova Iorque";"MA";2107308;68,74;33,5;30,8;41,97;67,31
"Nova Olinda do Maranhão";"MA";2107357;70,32;28,4;27,87;43,72;74,1
"Olho D'Água das Cunhãs";"MA";2107407;70,24;28,6;34,43;43,49;70,77
"Olinda Nova do Maranhão";"MA";2107456;68,43;34,6;25,88;60,42;79,71
"Paço do Lumiar";"MA";2107506;72,74;21,3;5,76;19,04;44,76
"Palmeirândia";"MA";2107605;67,9;36,5;26,15;60,2;83,15
"Paraibano";"MA";2107704;68,37;34,8;30,64;41,77;64,81
"Parnarama";"MA";2107803;70,5;27,8;35,89;54,7;78,42
"Passagem Franca";"MA";2107902;68,04;36;35,41;50,54;74,47
"Pastos Bons";"MA";2108009;70,18;28,8;24,41;47,87;71,56
"Paulino Neves";"MA";2108058;68,18;35,5;30,06;63,86;83,14
"Paulo Ramos";"MA";2108108;65,64;45,3;36,33;49,3;74,97
"Pedreiras";"MA";2108207;72,49;22;19,23;28,4;54,25
"Pedro do Rosário";"MA";2108256;66,77;40,7;28,65;64,9;83,77
"Penalva";"MA";2108306;66,57;41,5;20,8;48,09;76,08
"Peri Mirim";"MA";2108405;69,61;30,6;22,49;51,21;79,54
"Peritoró";"MA";2108454;71,44;25;36,67;61,02;82,16
"Pindaré-Mirim";"MA";2108504;70,3;28,4;20,06;42,06;65,83
"Pinheiro";"MA";2108603;71,26;25,5;17,8;36,43;61,35
"Pio Xii";"MA";2108702;68,64;33,9;31,5;47,24;74,32
"Pirapemas";"MA";2108801;69,47;31,1;30,09;59,87;79,42
"Poção de Pedras";"MA";2108900;68,91;33;31,61;46,16;71,36
